Shimmer_3B52_TimestampSync_FormattedUnix_CAL,Shimmer_3B52_Accel_LN_X_CAL,Shimmer_3B52_Accel_LN_Y_CAL,Shimmer_3B52_Accel_LN_Z_CAL,Shimmer_3B52_Accel_WR_X_CAL,Shimmer_3B52_Accel_WR_Y_CAL,Shimmer_3B52_Accel_WR_Z_CAL,Shimmer_3B52_GSR_Range_CAL,Shimmer_3B52_GSR_Skin_Conductance_CAL,Shimmer_3B52_GSR_Skin_Resistance_CAL,Shimmer_3B52_Gyro_X_CAL,Shimmer_3B52_Gyro_Y_CAL,Shimmer_3B52_Gyro_Z_CAL,Shimmer_3B52_Mag_X_CAL,Shimmer_3B52_Mag_Y_CAL,Shimmer_3B52_Mag_Z_CAL,Shimmer_3B52_PPG_A12_CAL
2023/06/30 14:38:42,1.847826087,2.010869565,10.98913043,-0.1244763615,0.1364452424,10.47995212,3,0.002442002442,409500,-0.9160305344,1.526717557,-0.7786259542,0.2323838081,-0.3328335832,-0.9730134933,1288.644689
2023/06/30 14:38:42,1.847826087,2.010869565,11,-0.1292639138,0.1172950329,10.47516457,3,0.002886002886,346500,-0.7175572519,1.328244275,-0.6870229008,0.2338830585,-0.3403298351,-0.9835082459,1289.377289
2023/06/30 14:38:42,1.858695652,2.032608696,10.98913043,-0.1412327947,0.1244763615,10.47037702,3,0.002886002886,346500,-0.7480916031,0.8702290076,-1.053435115,0.2323838081,-0.3373313343,-0.9835082459,1290.10989
2023/06/30 14:38:42,1.858695652,2.02173913,11,-0.1172950329,0.1388390186,10.47755835,3,0.002886002886,346500,-1.022900763,1.435114504,-0.9312977099,0.2323838081,-0.3403298351,-0.9775112444,1290.10989
2023/06/30 14:38:42,1.826086957,2.032608696,11,-0.1244763615,0.1388390186,10.47037702,3,0.002442002442,409500,-0.7022900763,1.007633588,-0.9007633588,0.2323838081,-0.3373313343,-0.9805097451,1290.842491
2023/06/30 14:38:42,1.869565217,2.010869565,11.01086957,-0.1268701376,0.1268701376,10.48473968,3,0.002886002886,346500,-0.7633587786,1.083969466,-0.7480916031,0.2323838081,-0.3283358321,-0.9820089955,1285.714286
2023/06/30 14:38:42,1.869565217,2.02173913,11.01086957,-0.1244763615,0.1364452424,10.4727708,3,0.002442002442,409500,-0.7633587786,1.251908397,-0.7938931298,0.2338830585,-0.3373313343,-0.9835082459,1284.249084
2023/06/30 14:38:42,1.847826087,2.02173913,11,-0.1172950329,0.1340514662,10.47995212,3,0.002886002886,346500,-0.6106870229,1.236641221,-0.9160305344,0.2338830585,-0.3328335832,-0.976011994,1287.912088
2023/06/30 14:38:42,1.858695652,2.010869565,11,-0.1412327947,0.1220825853,10.4727708,3,0.002886002886,346500,-0.4580152672,1.34351145,-1.053435115,0.2323838081,-0.3373313343,-0.9910044978,1289.377289
2023/06/30 14:38:42,1.858695652,2.010869565,11,-0.1125074806,0.1364452424,10.47995212,3,0.002886002886,346500,-0.9007633588,1.297709924,-0.9618320611,0.2323838081,-0.347826087,-0.9820089955,1290.10989
2023/06/30 14:38:42,1.847826087,2.010869565,10.98913043,-0.1196888091,0.1340514662,10.47995212,3,0.002886002886,346500,-0.7328244275,1.435114504,-0.8549618321,0.227886057,-0.3283358321,-0.9700149925,1290.842491
2023/06/30 14:38:43,1.880434783,2.02173913,11.04347826,-0.1244763615,0.1436265709,10.49192101,3,0.002886002886,346500,-1.86259542,-1.86259542,-0.5954198473,0.2263868066,-0.3418290855,-0.9850074963,1285.714286
2023/06/30 14:38:43,1.880434783,2.010869565,11.01086957,-0.08856971873,0.1244763615,10.48713345,3,0.002886002886,346500,-0.8396946565,0.9465648855,-1.007633588,0.2293853073,-0.3463268366,-0.9820089955,1283.516484
2023/06/30 14:38:43,1.869565217,2,11,-0.08856971873,0.1172950329,10.47995212,3,0.002886002886,346500,-0.9465648855,1.755725191,-0.7022900763,0.2293853073,-0.3283358321,-0.9715142429,1287.912088
2023/06/30 14:38:43,1.891304348,2.010869565,11.02173913,-0.0933572711,0.1268701376,10.47516457,3,0.002886002886,346500,-0.7022900763,1.511450382,-0.6870229008,0.227886057,-0.3403298351,-0.9865067466,1289.377289
2023/06/30 14:38:43,1.902173913,2.02173913,10.98913043,-0.0933572711,0.1244763615,10.47516457,3,0.002886002886,346500,-0.7022900763,1.389312977,-0.7480916031,0.2353823088,-0.3493253373,-0.9820089955,1290.10989
2023/06/30 14:38:43,1.880434783,2,11,-0.105326152,0.1149012567,10.48473968,3,0.002886002886,346500,-0.5801526718,1.20610687,-0.7328244275,0.2323838081,-0.3388305847,-0.9850074963,1291.575092
2023/06/30 14:38:43,1.880434783,2.010869565,11.01086957,-0.09575104728,0.1172950329,10.48473968,3,0.002886002886,346500,-0.7175572519,1.389312977,-1.007633588,0.2218890555,-0.3283358321,-0.988005997,1286.446886
2023/06/30 14:38:43,1.891304348,2.02173913,11.02173913,-0.0933572711,0.1244763615,10.4727708,3,0.002886002886,346500,-0.7175572519,1.58778626,-1.083969466,0.2248875562,-0.3433283358,-0.9805097451,1287.912088
2023/06/30 14:38:43,1.880434783,2.010869565,11.01086957,-0.0933572711,0.1268701376,10.47755835,3,0.002886002886,346500,-0.7480916031,1.511450382,-0.6564885496,0.2308845577,-0.3388305847,-0.9865067466,1284.981685
2023/06/30 14:38:43,1.902173913,2.010869565,11,-0.09096349491,0.13165769,10.47755835,3,0.002886002886,346500,-0.7022900763,1.679389313,-0.8244274809,0.2338830585,-0.3373313343,-0.9775112444,1288.644689
2023/06/30 14:38:43,1.891304348,2.032608696,11.01086957,-0.1029323758,0.1220825853,10.47995212,3,0.002886002886,346500,-0.8702290076,1.389312977,-0.8091603053,0.2368815592,-0.3328335832,-0.9805097451,1284.981685
2023/06/30 14:38:43,1.858695652,2.010869565,11,-0.09575104728,0.1268701376,10.47755835,3,0.002886002886,346500,-0.8702290076,1.419847328,-0.8549618321,0.2413793103,-0.3493253373,-0.976011994,1287.912088
2023/06/30 14:38:43,1.880434783,2.010869565,11,-0.09814482346,0.1172950329,10.48952723,3,0.002442002442,409500,-1.053435115,1.297709924,-0.7022900763,0.2323838081,-0.3343328336,-0.9820089955,1288.644689
2023/06/30 14:38:43,1.880434783,2.010869565,11.01086957,-0.09096349491,0.1220825853,10.47755835,3,0.002886002886,346500,-0.5190839695,1.282442748,-1.053435115,0.2353823088,-0.3223388306,-0.9775112444,1285.714286
2023/06/30 14:38:43,1.869565217,2,11.02173913,-0.105326152,0.1125074806,10.48473968,3,0.002442002442,409500,-0.534351145,1.20610687,-0.7480916031,0.2338830585,-0.3313343328,-0.9850074963,1287.912088
2023/06/30 14:38:44,1.880434783,2,11.01086957,-0.105326152,0.1101137044,10.48473968,3,0.002886002886,346500,-0.6870229008,1.297709924,-1.129770992,0.2353823088,-0.3298350825,-0.9835082459,1285.714286
2023/06/30 14:38:44,1.858695652,2.02173913,11.02173913,-0.1029323758,0.1149012567,10.48473968,3,0.002886002886,346500,-0.9007633588,1.374045802,-0.8854961832,0.2308845577,-0.3178410795,-0.9730134933,1287.912088
2023/06/30 14:38:44,1.858695652,2.02173913,11,-0.09814482346,0.1196888091,10.4823459,3,0.002886002886,346500,-0.7938931298,1.419847328,-0.9160305344,0.2383808096,-0.3148425787,-0.9790104948,1288.644689
2023/06/30 14:38:44,1.880434783,2.010869565,11,-0.105326152,0.1172950329,10.48713345,3,0.002886002886,346500,-0.6564885496,1.465648855,-0.7175572519,0.2368815592,-0.335832084,-0.988005997,1290.10989
2023/06/30 14:38:44,1.880434783,2.010869565,10.98913043,-0.105326152,0.1149012567,10.4823459,3,0.002886002886,346500,-0.5648854962,1.34351145,-0.6717557252,0.2443778111,-0.3253373313,-0.9790104948,1290.842491
2023/06/30 14:38:44,1.869565217,1.989130435,11.01086957,-0.0933572711,0.1220825853,10.4823459,3,0.002886002886,346500,-0.6717557252,1.34351145,-0.7480916031,0.2443778111,-0.3193403298,-0.976011994,1287.179487
2023/06/30 14:38:44,1.869565217,2,11.01086957,-0.09814482346,0.1125074806,10.47995212,3,0.002442002442,409500,-0.8091603053,1.129770992,-0.7938931298,0.2413793103,-0.3178410795,-0.976011994,1284.981685
2023/06/30 14:38:44,1.880434783,2.02173913,10.98913043,-0.08617594255,0.1268701376,10.48713345,3,0.002886002886,346500,-0.8091603053,0.9007633588,-0.7938931298,0.2383808096,-0.3268365817,-0.976011994,1288.644689
2023/06/30 14:38:44,2.010869565,1.652173913,11.01086957,-0.105326152,0.1101137044,10.48713345,3,0.002886002886,346500,-0.4732824427,1.496183206,52.16793893,0.23988006,-0.3223388306,-0.9700149925,1284.981685
2023/06/30 14:38:44,1.739130435,2.467391304,10.92391304,0.078994614,0.105326152,10.49192101,3,0.002886002886,346500,-0.04580152672,1.267175573,120.2290076,0.2473763118,-0.3253373313,-0.9670164918,1295.238095
2023/06/30 14:38:44,1.858695652,2.195652174,10.9673913,0.004787552364,0.6223818073,10.46080192,3,0.002886002886,346500,0.3969465649,-0.4580152672,268.3053435,0.23988006,-0.3388305847,-0.9670164918,1292.307692
2023/06/30 14:38:44,2.956521739,2.043478261,11.06521739,-1.113105925,-0.08138839019,10.47755835,3,0.002886002886,346500,0.5648854962,1.20610687,290.2290076,0.2443778111,-0.3433283358,-0.9730134933,1284.981685
2023/06/30 14:38:44,1.804347826,2.195652174,10.9673913,0.1651705566,0.03351286655,10.46080192,3,0.002886002886,346500,0.7328244275,1.480916031,287.5877863,0.2428785607,-0.3553223388,-0.9610194903,1289.377289
2023/06/30 14:38:44,1.554347826,2.260869565,10.9673913,-0.5697187313,0.2776780371,10.46319569,3,0.002886002886,346500,-1.175572519,-1.419847328,206.9465649,0.2188905547,-0.3643178411,-0.9610194903,1290.10989
2023/06/30 14:38:44,1.739130435,1.793478261,11.10869565,-0.3231597846,0.7516457211,10.4823459,3,0.002886002886,346500,-0.4885496183,1.419847328,70.09160305,0.2248875562,-0.3583208396,-0.9550224888,1281.318681
2023/06/30 14:38:45,2.913043478,1.72826087,11.02173913,0.08378216637,-0.2178336326,10.48713345,3,0.002886002886,346500,-0.7938931298,0.3511450382,4.030534351,0.2203898051,-0.3553223388,-0.9550224888,1286.446886
2023/06/30 14:38:45,1.717391304,2.402173913,10.97826087,0.3087971275,0.007181328546,10.48473968,3,0.002886002886,346500,-0.6870229008,1.877862595,37.32824427,0.2218890555,-0.3673163418,-0.964017991,1293.772894
2023/06/30 14:38:45,1.891304348,1.967391304,11.02173913,-0.3566726511,0.105326152,10.48473968,3,0.002886002886,346500,-0.7633587786,1.328244275,-0.8396946565,0.227886057,-0.3643178411,-0.9625187406,1291.575092
2023/06/30 14:38:45,1.923913043,2.010869565,10.9673913,-0.06463195691,0.09814482346,10.47995212,3,0.002886002886,346500,-0.8702290076,1.297709924,-0.8549618321,0.227886057,-0.3568215892,-0.9595202399,1292.307692
2023/06/30 14:38:45,1.880434783,2,11,-0.05745062837,0.09814482346,10.48473968,3,0.00333000333,300300,-0.534351145,1.328244275,-1.221374046,0.2293853073,-0.3703148426,-0.9610194903,1291.575092
2023/06/30 14:38:45,1.913043478,2,10.98913043,-0.07420706164,0.0933572711,10.49670856,3,0.002886002886,346500,-0.9465648855,0.9923664122,-0.8244274809,0.215892054,-0.3583208396,-0.9565217391,1291.575092
2023/06/30 14:38:45,1.913043478,2,11.01086957,-0.07660083782,0.08856971873,10.47995212,3,0.002886002886,346500,-0.8244274809,1.328244275,-0.8244274809,0.2323838081,-0.3658170915,-0.9535232384,1286.446886
2023/06/30 14:38:45,1.891304348,2,11,-0.07660083782,0.08617594255,10.48473968,3,0.002886002886,346500,-0.8854961832,1.419847328,-0.8244274809,0.2263868066,-0.35982009,-0.9445277361,1287.912088
2023/06/30 14:38:45,1.902173913,1.989130435,11.01086957,-0.06223818073,0.1005385996,10.47995212,3,0.002886002886,346500,-0.7938931298,1.038167939,-0.9007633588,0.227886057,-0.3583208396,-0.9475262369,1284.981685
2023/06/30 14:38:45,1.923913043,1.989130435,11.01086957,-0.05745062837,0.1077199282,10.4823459,3,0.002886002886,346500,-0.7022900763,0.9160305344,-1.06870229,0.2263868066,-0.3613193403,-0.9595202399,1284.249084
2023/06/30 14:38:45,1.891304348,1.989130435,11,-0.07181328546,0.105326152,10.4823459,3,0.002886002886,346500,-0.8091603053,1.145038168,-0.9160305344,0.2293853073,-0.3568215892,-0.952023988,1287.179487
2023/06/30 14:38:45,1.923913043,1.989130435,10.97826087,-0.05984440455,0.1029323758,10.4727708,3,0.002886002886,346500,-0.9312977099,0.534351145,-0.7938931298,0.2323838081,-0.3583208396,-0.9505247376,1293.772894
2023/06/30 14:38:45,1.934782609,2,11.02173913,-0.05745062837,0.09814482346,10.4823459,3,0.002886002886,346500,-0.8091603053,1.34351145,-0.7633587786,0.2323838081,-0.3703148426,-0.9580209895,1290.842491
2023/06/30 14:38:45,1.913043478,1.989130435,11.0326087,-0.05745062837,0.105326152,10.48473968,3,0.00333000333,300300,-0.6717557252,1.221374046,-1.160305344,0.2293853073,-0.3583208396,-0.9550224888,1286.446886
2023/06/30 14:38:45,1.923913043,1.97826087,10.98913043,-0.04548174746,0.0933572711,10.47516457,3,0.002442002442,409500,-0.6717557252,1.328244275,-0.6870229008,0.2293853073,-0.3448275862,-0.952023988,1289.377289
2023/06/30 14:38:46,1.923913043,2,11,-0.04548174746,0.09814482346,10.47995212,3,0.002886002886,346500,-0.4427480916,1.145038168,-0.8396946565,0.2248875562,-0.3643178411,-0.9595202399,1290.842491
2023/06/30 14:38:46,1.913043478,2.010869565,11.01086957,-0.05026929982,0.09814482346,10.48473968,3,0.002886002886,346500,-0.8854961832,1.480916031,-0.7938931298,0.2188905547,-0.3628185907,-0.9475262369,1284.981685
2023/06/30 14:38:46,1.923913043,2,11.01086957,-0.05505685218,0.09814482346,10.48713345,3,0.002886002886,346500,-0.8549618321,1.251908397,-0.7328244275,0.2218890555,-0.3673163418,-0.9610194903,1283.516484
2023/06/30 14:38:46,1.913043478,2,10.98913043,-0.052663076,0.0933572711,10.4823459,3,0.002886002886,346500,-0.4427480916,1.282442748,-0.7480916031,0.2323838081,-0.3628185907,-0.9580209895,1287.179487
2023/06/30 14:38:46,1.923913043,2.010869565,11,-0.04548174746,0.09814482346,10.4823459,3,0.002886002886,346500,-0.8396946565,1.297709924,-0.7175572519,0.2218890555,-0.3538230885,-0.9550224888,1289.377289
2023/06/30 14:38:46,1.902173913,1.989130435,11.01086957,-0.05984440455,0.08138839019,10.4823459,3,0.002442002442,409500,-0.8244274809,1.603053435,-0.6870229008,0.2143928036,-0.3538230885,-0.9565217391,1285.714286
2023/06/30 14:38:46,1.923913043,2,11,-0.05026929982,0.1005385996,10.48473968,3,0.002886002886,346500,-0.7480916031,1.282442748,-0.8091603053,0.2203898051,-0.3613193403,-0.9580209895,1287.912088
2023/06/30 14:38:46,1.934782609,1.97826087,11.01086957,-0.05026929982,0.09814482346,10.4823459,3,0.002886002886,346500,-0.5954198473,1.328244275,-0.6106870229,0.2203898051,-0.3583208396,-0.952023988,1284.981685
2023/06/30 14:38:46,1.902173913,1.97826087,11.01086957,-0.06223818073,0.09096349491,10.47995212,3,0.002886002886,346500,-0.9160305344,1.083969466,-0.7328244275,0.2263868066,-0.3523238381,-0.9490254873,1283.516484
2023/06/30 14:38:46,1.923913043,1.97826087,11.02173913,-0.04548174746,0.1125074806,10.4823459,3,0.002886002886,346500,-0.5190839695,1.496183206,-0.8549618321,0.2263868066,-0.3628185907,-0.9625187406,1286.446886
2023/06/30 14:38:46,2.467391304,1.815217391,11.04347826,-0.05745062837,0.1005385996,10.4823459,3,0.002886002886,346500,-1.282442748,1.083969466,-58.16793893,0.2173913043,-0.3613193403,-0.9505247376,1283.516484
2023/06/30 14:38:46,1.858695652,1.826086957,11.0326087,-0.2393776182,0.1125074806,10.49192101,3,0.002886002886,346500,-0.8702290076,2.229007634,-104.1526718,0.2218890555,-0.3748125937,-0.9625187406,1282.783883
2023/06/30 14:38:46,2.086956522,1.989130435,11.01086957,-0.3087971275,0.01675643327,10.47516457,3,0.002886002886,346500,-2.259541985,-0.9160305344,-178.5496183,0.2353823088,-0.3403298351,-0.952023988,1282.783883
2023/06/30 14:38:46,1.902173913,1.902173913,11,-0.09575104728,0.2226211849,10.48713345,3,0.002886002886,346500,-1.328244275,3.86259542,-251.1603053,0.23988006,-0.35982009,-0.9505247376,1287.912088
2023/06/30 14:38:46,1.27173913,2.239130435,11.0326087,-0.4069419509,0.009575104728,10.50388989,3,0.002886002886,346500,-2.534351145,0.2290076336,-317.8931298,0.2443778111,-0.3448275862,-0.9670164918,1283.516484
2023/06/30 14:38:47,2.163043478,2.760869565,10.97826087,-0.06463195691,0.2226211849,10.47995212,3,0.002886002886,346500,-1.511450382,1.511450382,-189.0229008,0.2503748126,-0.3313343328,-0.9595202399,1290.842491
2023/06/30 14:38:47,2.532608696,2.347826087,10.9673913,-0.3135846798,0.7444643926,10.47995212,3,0.002886002886,346500,-0.8244274809,1.404580153,-135.5572519,0.2563718141,-0.3268365817,-0.9670164918,1291.575092
2023/06/30 14:38:47,1.75,2.77173913,10.98913043,-0.1268701376,0.6247755835,10.50149611,3,0.002442002442,409500,-0.8702290076,1.633587786,-72.07633588,0.251874063,-0.3148425787,-0.9565217391,1291.575092
2023/06/30 14:38:47,2.347826087,1.858695652,11.02173913,0.4380610413,0.026331538,10.47755835,3,0.002886002886,346500,-0.7480916031,1.480916031,-0.8854961832,0.2473763118,-0.3208395802,-0.9595202399,1290.842491
2023/06/30 14:38:47,0.8043478261,2.217391304,11.04347826,0.1484141233,0.004787552364,10.47995212,3,0.002886002886,346500,-0.9618320611,1.145038168,-36.90076336,0.2458770615,-0.311844078,-0.964017991,1286.446886
2023/06/30 14:38:47,1.880434783,2,11.02173913,-0.1747456613,0.1627767804,10.47755835,3,0.002442002442,409500,-0.6717557252,1.297709924,-0.7480916031,0.2473763118,-0.3253373313,-0.9700149925,1289.377289
2023/06/30 14:38:47,1.858695652,2,11.01086957,-0.09575104728,0.1220825853,10.47755835,3,0.002886002886,346500,-0.4427480916,1.328244275,-0.7022900763,0.2368815592,-0.3298350825,-0.9790104948,1286.446886
2023/06/30 14:38:47,-0.4782608696,2.467391304,10.84782609,-0.09575104728,0.1220825853,10.48713345,3,0.002886002886,346500,1.908396947,8.396946565,-12.03053435,0.2368815592,-0.3283358321,-0.9730134933,1306.959707
2023/06/30 14:38:47,2.010869565,2.108695652,11.01086957,-0.2010771993,0.08138839019,10.47516457,3,0.002886002886,346500,-0.8244274809,1.190839695,-2.916030534,0.2413793103,-0.3418290855,-0.9745127436,1294.505495
2023/06/30 14:38:47,1.858695652,2,11.01086957,-0.1005385996,0.1244763615,10.4727708,3,0.002886002886,346500,-0.9160305344,1.297709924,-0.9160305344,0.2338830585,-0.3298350825,-0.9655172414,1288.644689
2023/06/30 14:38:47,1.880434783,2,11,-0.1005385996,0.1268701376,10.48473968,3,0.002886002886,346500,-0.8091603053,1.145038168,-0.7328244275,0.2293853073,-0.3373313343,-0.9820089955,1289.377289
2023/06/30 14:38:47,1.869565217,2,11,-0.1101137044,0.1172950329,10.48713345,3,0.002886002886,346500,-0.5496183206,1.755725191,-0.7328244275,0.2368815592,-0.3403298351,-0.9805097451,1290.10989
2023/06/30 14:38:47,2.913043478,2.793478261,10.95652174,-0.2202274087,-0.2058647516,10.48713345,3,0.002886002886,346500,-0.9770992366,1.175572519,-3.786259542,0.227886057,-0.347826087,-0.9850074963,1294.505495
2023/06/30 14:38:47,1.913043478,2.260869565,10.97826087,0.004787552364,0.3255535607,10.47516457,3,0.002886002886,346500,-0.5648854962,1.603053435,-2.122137405,0.2293853073,-0.3418290855,-0.9790104948,1296.703297
2023/06/30 14:38:47,1.869565217,2.010869565,11.0326087,-0.1125074806,0.1196888091,10.47755835,3,0.002886002886,346500,-0.7938931298,0.8549618321,-1.022900763,0.2368815592,-0.3433283358,-0.9910044978,1289.377289
2023/06/30 14:38:48,1.902173913,2.043478261,10.97826087,0.03351286655,0.210652304,10.4727708,3,0.002886002886,346500,-0.7328244275,0.9312977099,-0.9770992366,0.2338830585,-0.3508245877,-0.9850074963,1294.505495
2023/06/30 14:38:48,1.880434783,2.010869565,11.01086957,-0.1029323758,0.1172950329,10.47995212,3,0.002886002886,346500,-1.022900763,1.435114504,-0.6717557252,0.227886057,-0.3328335832,-0.9775112444,1287.912088
2023/06/30 14:38:48,1.880434783,2,10.98913043,-0.09814482346,0.1220825853,10.47995212,3,0.002886002886,346500,-0.7938931298,1.328244275,-0.641221374,0.2353823088,-0.3448275862,-0.9745127436,1290.10989
2023/06/30 14:38:48,1.858695652,2.010869565,10.98913043,-0.1005385996,0.1101137044,10.48473968,3,0.002886002886,346500,-0.7328244275,1.20610687,-1.145038168,0.2323838081,-0.3403298351,-0.9790104948,1290.842491
2023/06/30 14:38:48,1.869565217,2.010869565,11.01086957,-0.1172950329,0.1101137044,10.47995212,3,0.002442002442,409500,-0.8396946565,1.465648855,-0.9465648855,0.2308845577,-0.3433283358,-0.9820089955,1286.446886
2023/06/30 14:38:48,1.891304348,2.02173913,11,-0.09096349491,0.1244763615,10.4823459,3,0.002886002886,346500,-0.8549618321,1.221374046,-0.7938931298,0.2293853073,-0.3433283358,-0.9775112444,1288.644689
2023/06/30 14:38:48,1.891304348,2.02173913,11,-0.09814482346,0.1196888091,10.47755835,3,0.002886002886,346500,-0.7175572519,1.34351145,-0.5801526718,0.2383808096,-0.3463268366,-0.9850074963,1289.377289
2023/06/30 14:38:48,1.858695652,2.010869565,11,-0.09575104728,0.1244763615,10.48713345,3,0.002886002886,346500,-0.7480916031,1.038167939,-0.641221374,0.2338830585,-0.3448275862,-0.9715142429,1290.10989
2023/06/30 14:38:48,1.858695652,2.010869565,11,-0.09575104728,0.1196888091,10.48473968,3,0.002886002886,346500,-0.5801526718,1.099236641,-0.6870229008,0.2353823088,-0.3433283358,-0.9790104948,1290.10989
2023/06/30 14:38:48,1.880434783,2.02173913,11,-0.0933572711,0.1196888091,10.47995212,3,0.00333000333,300300,-0.6106870229,1.190839695,-0.5648854962,0.227886057,-0.3313343328,-0.9685157421,1289.377289
2023/06/30 14:38:48,1.869565217,2,11.01086957,-0.0933572711,0.1149012567,10.48473968,3,0.002886002886,346500,-0.4885496183,1.34351145,-0.7786259542,0.2458770615,-0.3403298351,-0.9775112444,1286.446886
2023/06/30 14:38:48,1.858695652,1.989130435,10.95652174,-0.0933572711,0.1268701376,10.4823459,3,0.002886002886,346500,-0.8854961832,1.603053435,-0.7328244275,0.2323838081,-0.3313343328,-0.9730134933,1293.040293
2023/06/30 14:38:48,1.913043478,2.282608696,10.97826087,0.04548174746,0.3207660084,10.4823459,3,0.002886002886,346500,-0.4732824427,1.86259542,2.595419847,0.23988006,-0.3448275862,-0.9775112444,1296.703297
2023/06/30 14:38:48,1.869565217,2.010869565,10.98913043,-0.08617594255,0.2226211849,10.47995212,3,0.002886002886,346500,-0.2900763359,1.480916031,-0.9007633588,0.2383808096,-0.3433283358,-0.9820089955,1295.238095
2023/06/30 14:38:48,1.597826087,2.163043478,10.92391304,-0.1196888091,0.1125074806,10.47995212,3,0.00333000333,300300,-0.1984732824,3.038167939,2.27480916,0.23988006,-0.3388305847,-0.9745127436,1300.3663
2023/06/30 14:38:49,1.858695652,2.010869565,11.0326087,-0.06223818073,0.1244763615,10.48952723,3,0.002886002886,346500,-0.6717557252,1.877862595,-0.5801526718,0.23988006,-0.3418290855,-0.9820089955,1292.307692
2023/06/30 14:38:49,1.836956522,2.043478261,10.98913043,-0.1029323758,0.13165769,10.47516457,3,0.002886002886,346500,-0.427480916,1.86259542,-0.8091603053,0.2458770615,-0.3403298351,-0.9715142429,1293.040293
2023/06/30 14:38:49,1.847826087,2.010869565,10.9673913,-0.1220825853,0.1172950329,10.4823459,3,0.002442002442,409500,-0.9007633588,1.34351145,-0.8396946565,0.2413793103,-0.3373313343,-0.9790104948,1293.040293
2023/06/30 14:38:49,1.847826087,2,11,-0.1172950329,0.1340514662,10.4823459,3,0.002442002442,409500,-0.7480916031,0.7480916031,-0.9923664122,0.2488755622,-0.3448275862,-0.976011994,1292.307692
